date,plant-stand,precip,temp,hail,crop-hist,area-damaged,severity,seed-tmt,germination,plant-growth,leaves,leafspots-halo,leafspots-marg,leafspot-size,leaf-shread,leaf-malf,leaf-mild,stem,lodging,stem-cankers,canker-lesion,fruiting-bodies,external-decay,mycelium,int-discolor,sclerotia,fruit-pods,fruit-spots,seed,mold-growth,seed-discolor,seed-size,shriveling,roots,target
6,2,1,3,2,4,1,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,4,4,2,1,1,2,1,2,10
2,2,1,3,2,3,2,3,1,0,1,0,1,1,1,1,1,1,1,2,1,1,2,2,1,3,1,4,4,2,1,1,2,1,2,10
3,2,1,3,2,4,2,3,1,3,1,0,1,1,1,1,1,1,1,2,1,3,2,2,1,3,1,4,4,2,1,1,2,1,2,10
3,2,1,3,2,4,2,3,2,0,1,0,1,1,1,1,1,1,1,2,1,3,2,2,1,3,1,4,4,2,1,1,2,1,2,10
6,2,1,3,2,3,2,2,2,3,1,0,1,1,1,1,1,1,1,2,1,1,2,2,1,3,1,4,4,2,1,1,2,1,2,10
7,2,1,3,2,2,2,2,2,0,1,0,1,1,1,1,1,1,1,2,1,3,2,2,1,3,1,4,4,2,1,1,2,1,2,10
7,2,1,3,2,3,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,4,4,2,1,1,2,1,2,10
2,2,1,3,1,4,2,2,2,3,1,0,1,1,1,1,1,1,1,2,1,1,2,2,1,3,1,4,4,2,1,1,2,1,2,10
6,2,1,3,2,2,2,2,1,0,1,0,1,1,1,1,1,1,1,2,1,1,2,2,1,3,1,4,4,2,1,1,2,1,2,10
2,2,1,3,2,3,2,3,2,3,1,0,1,1,1,1,1,1,1,2,1,1,2,2,1,3,1,4,4,2,1,1,2,1,2,10
6,2,2,1,2,4,4,2,1,1,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,7
2,2,2,3,1,4,4,2,1,0,1,0,1,1,1,1,1,1,1,1,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,7
3,2,2,3,2,4,3,2,2,1,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,7
6,2,2,3,1,2,4,2,1,1,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,7
6,2,2,1,2,4,4,2,1,0,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,7
7,2,2,1,1,2,4,2,1,3,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,7
6,2,2,1,1,1,3,2,2,1,1,0,1,1,1,1,1,1,1,1,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,7
2,2,2,3,2,3,3,2,2,0,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,7
3,2,2,1,2,3,3,2,2,3,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,7
7,2,2,1,1,3,3,2,2,3,1,0,1,1,1,1,1,1,1,2,3,4,1,1,1,1,2,4,4,2,1,1,2,1,2,7
5,1,1,2,2,3,1,3,2,3,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2,3,1,2,4,2,1,1,2,1,2,17
5,1,1,2,2,4,1,3,2,0,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,2,17
3,2,1,2,1,2,1,3,2,0,1,1,1,1,1,1,1,1,1,1,4,1,1,2,2,3,1,2,4,2,1,1,2,1,2,17
1,1,1,2,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,2,17
1,1,1,2,2,4,1,3,1,3,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,2,17
5,1,1,2,2,2,1,3,2,3,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,2,17
5,1,1,2,2,1,1,2,2,0,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,2,17
4,1,1,2,2,3,1,2,2,0,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,2,17
5,1,1,2,2,4,1,3,2,3,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,2,17
4,1,1,2,2,4,1,3,2,3,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,3,1,2,4,2,1,1,2,1,2,17
1,1,1,3,1,4,1,2,2,1,1,0,1,1,1,1,1,1,1,2,4,2,1,2,1,3,1,2,4,2,1,1,2,1,2,14
5,1,1,3,0,2,1,0,0,2,1,0,1,1,1,1,1,1,1,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
4,1,1,1,0,3,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
5,1,1,2,2,3,1,3,1,0,1,0,1,1,1,1,1,1,1,2,2,2,1,1,1,3,1,2,4,2,1,1,2,1,2,14
4,1,1,1,0,3,1,0,0,2,1,0,0,0,0,0,0,0,1,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
3,1,1,3,0,3,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
1,1,3,3,2,4,1,2,2,1,1,0,1,1,1,1,1,1,1,2,4,2,1,1,1,3,1,2,4,2,1,1,2,1,2,14
3,1,1,2,2,3,1,3,1,0,1,0,1,1,1,1,1,1,1,2,2,2,1,1,1,3,1,2,4,2,1,1,2,1,2,14
4,1,3,3,0,1,1,0,0,2,1,0,1,1,1,1,1,1,1,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
4,1,1,2,2,4,1,3,2,0,1,0,1,1,1,1,1,1,1,2,4,2,1,1,1,3,1,2,4,2,1,1,2,1,2,14
4,1,1,3,0,4,1,0,0,2,1,0,1,1,1,1,1,1,1,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
5,1,1,3,0,4,1,0,0,2,1,0,0,0,0,0,0,0,1,0,4,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
1,1,1,3,2,2,1,2,2,1,1,0,1,1,1,1,1,1,1,2,4,2,1,1,1,3,1,2,4,2,1,1,2,1,2,14
1,1,3,3,1,3,1,3,1,1,1,0,1,1,1,1,1,1,1,1,2,2,1,2,1,3,1,2,4,2,1,1,2,1,2,14
3,1,1,2,2,4,1,3,1,1,1,0,1,1,1,1,1,1,1,2,2,2,1,1,1,3,1,2,4,2,1,1,2,1,2,14
4,1,1,1,0,2,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
1,1,1,3,2,3,1,2,2,0,1,0,1,1,1,1,1,1,1,2,4,2,1,1,1,3,1,2,4,2,1,1,2,1,2,14
4,1,3,1,0,3,1,0,0,2,1,0,1,1,1,1,1,1,1,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
4,1,1,3,1,4,1,3,2,3,1,0,1,1,1,1,1,1,1,2,4,2,1,2,1,3,1,2,4,2,1,1,2,1,2,14
1,1,1,3,2,2,1,2,2,3,1,0,1,1,1,1,1,1,1,2,4,2,1,1,1,3,1,2,4,2,1,1,2,1,2,14
5,1,1,3,2,1,1,3,1,0,1,0,1,1,1,1,1,1,1,2,2,2,1,1,1,3,1,2,4,2,1,1,2,1,2,14
5,1,1,3,0,1,1,0,0,2,1,0,1,1,1,1,1,1,1,0,4,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
3,1,1,3,0,4,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
4,1,1,3,0,4,1,0,0,2,1,0,1,1,1,1,1,1,1,0,1,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
3,1,1,1,0,3,1,0,0,2,1,0,0,0,0,0,0,0,1,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
5,1,1,3,1,2,1,3,2,0,1,0,1,1,1,1,1,1,1,1,4,2,1,2,1,3,1,2,4,2,1,1,2,1,2,14
3,1,3,3,0,2,1,0,0,2,1,0,1,1,1,1,1,1,1,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
4,1,1,1,0,4,1,0,0,2,1,0,0,0,0,0,0,0,1,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
3,1,3,1,0,3,1,0,0,2,1,0,1,1,1,1,1,1,1,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
5,1,1,1,0,4,1,0,0,2,1,0,0,0,0,0,0,0,1,0,4,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
4,1,1,1,0,2,1,0,0,2,1,0,1,1,1,1,1,1,1,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
3,1,3,3,0,1,1,0,0,2,1,0,1,1,1,1,1,1,1,0,1,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
4,1,1,2,2,4,1,3,2,1,1,0,1,1,1,1,1,1,1,2,4,2,1,1,1,3,1,2,4,2,1,1,2,1,2,14
3,1,3,3,0,4,1,0,0,2,1,0,1,1,1,1,1,1,1,0,1,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
4,1,1,1,0,4,1,0,0,2,1,0,0,0,0,0,0,0,1,0,4,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
5,1,1,2,2,1,1,3,1,1,1,0,1,1,1,1,1,1,1,2,2,2,1,1,1,3,1,2,4,2,1,1,2,1,2,14
3,1,1,3,0,3,1,0,0,2,1,0,0,0,0,0,0,0,1,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
3,1,1,3,0,2,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
3,1,3,2,2,3,1,3,1,3,1,0,1,1,1,1,1,1,1,2,2,2,1,1,1,3,1,2,4,2,1,1,2,1,2,14
3,1,1,1,0,3,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,2,0,1,1,3,1,0,0,0,0,0,0,0,3,14
2,2,2,3,2,4,4,2,1,3,2,0,1,1,1,1,1,1,1,2,3,3,1,1,1,2,1,4,1,2,1,1,2,1,2,6
2,2,2,3,2,4,4,2,1,3,2,0,1,1,1,1,1,1,1,2,3,3,1,1,1,2,1,4,1,2,1,1,2,1,2,6
3,1,2,2,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,2,3,4,1,1,1,2,1,4,4,2,1,1,2,1,2,6
7,2,2,1,2,4,4,2,1,3,2,0,1,1,1,1,1,1,1,2,3,3,1,1,1,2,1,4,1,2,1,1,2,1,2,6
7,2,2,1,2,3,4,2,1,0,2,0,1,1,1,1,1,1,1,2,3,3,1,1,1,2,1,4,1,2,1,1,2,1,2,6
2,2,2,3,2,2,3,2,2,0,2,0,1,1,1,1,1,1,1,2,3,3,1,1,1,2,1,4,1,2,1,1,2,1,2,6
7,2,2,3,1,2,4,2,2,3,1,0,2,3,2,1,1,1,1,1,3,4,1,1,1,2,1,4,4,2,1,1,2,1,2,6
6,2,3,3,1,3,2,2,1,1,1,1,1,1,2,1,1,1,1,1,3,4,1,1,1,2,1,4,4,2,1,1,2,1,2,6
7,1,2,2,2,2,3,2,2,1,1,0,1,1,1,1,1,1,1,1,3,4,1,1,1,2,1,4,4,2,1,1,2,1,2,6
7,1,2,3,2,4,4,2,1,1,1,0,2,3,2,1,1,1,1,1,3,4,1,1,1,2,1,4,4,2,1,1,2,1,2,6
2,2,3,2,1,3,4,2,1,3,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,2,1,4,4,2,1,1,2,1,2,6
2,1,2,2,2,2,3,2,1,0,1,0,2,3,2,1,1,1,1,1,3,4,1,1,1,2,1,4,4,2,1,1,2,1,2,6
2,2,2,3,2,3,2,2,1,1,2,0,1,1,1,1,1,1,1,2,3,3,1,1,1,2,1,4,1,2,1,1,2,1,2,6
3,1,2,2,2,3,2,3,2,0,1,0,2,3,2,1,1,1,1,2,3,4,1,1,1,2,1,4,4,2,1,1,2,1,2,6
7,2,2,3,2,2,3,2,2,0,2,0,1,1,1,1,1,1,1,2,3,3,1,1,1,2,1,4,1,2,1,1,2,1,2,6
2,2,2,3,2,2,4,2,1,1,2,0,1,1,1,1,1,1,1,2,3,3,1,1,1,2,1,4,1,2,1,1,2,1,2,6
2,2,2,3,2,2,3,2,2,3,2,0,1,1,1,1,1,1,1,2,3,3,1,1,1,2,1,4,1,2,1,1,2,1,2,6
2,2,2,3,2,4,3,2,1,3,2,0,1,1,1,1,1,1,1,2,3,3,1,1,1,2,1,4,1,2,1,1,2,1,2,6
2,2,2,3,2,4,3,2,2,1,2,0,1,1,1,1,1,1,1,2,3,3,1,1,1,2,1,4,1,2,1,1,2,1,2,6
3,2,2,3,2,2,3,2,2,1,2,0,1,1,1,1,1,1,1,2,3,3,1,1,1,2,1,4,1,2,1,1,2,1,2,6
7,2,2,3,1,2,4,2,2,0,2,0,1,1,1,1,1,3,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,15
6,2,3,2,1,1,2,1,1,3,2,0,1,1,1,1,1,3,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,15
5,1,2,3,2,2,4,2,3,1,2,0,1,1,1,1,1,3,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,15
6,1,3,2,2,3,3,1,1,3,2,0,1,1,1,1,1,3,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,15
2,1,3,2,2,3,3,1,3,1,2,0,1,1,1,1,1,3,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,15
6,2,2,3,1,4,1,2,2,3,2,0,1,1,1,1,1,3,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,15
4,1,3,2,2,3,3,1,2,0,2,0,1,1,1,1,1,3,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,15
6,1,2,3,2,4,1,2,1,3,2,0,1,1,1,1,1,3,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,15
7,1,2,3,2,4,1,2,2,0,2,0,1,1,1,1,1,3,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,15
5,1,2,3,2,4,1,2,3,1,2,0,1,1,1,1,1,3,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,15
6,2,1,2,1,3,1,1,1,3,2,0,2,3,2,1,2,2,2,2,3,3,1,1,1,3,1,4,1,1,2,1,2,1,2,11
4,2,1,3,1,4,1,2,1,3,2,0,2,3,2,1,2,2,2,2,3,3,1,1,1,3,1,4,1,1,2,1,2,1,2,11
5,2,1,3,1,2,3,2,2,0,2,0,3,3,2,1,1,2,2,2,3,3,1,1,1,3,1,4,1,1,2,1,2,1,2,11
2,1,1,1,2,3,3,2,2,0,2,0,3,3,2,1,2,2,2,2,3,3,1,1,1,3,1,4,1,1,2,1,2,1,2,11
5,2,1,2,1,1,2,2,2,0,2,0,3,3,2,1,1,2,2,2,3,3,1,1,1,3,1,4,1,1,2,1,2,1,2,11
4,1,1,2,2,2,2,2,2,0,2,0,3,3,2,1,1,2,2,2,3,3,1,1,1,3,1,4,1,1,2,1,2,1,2,11
4,1,1,3,2,3,2,2,2,0,2,0,2,3,2,1,1,2,2,2,3,3,1,1,1,3,1,4,1,1,2,1,2,1,2,11
2,1,1,1,2,3,1,1,1,3,2,0,3,3,2,1,1,2,2,2,3,3,1,1,1,3,1,4,1,1,2,1,2,1,2,11
2,1,1,2,2,4,3,2,2,0,2,0,2,3,2,1,1,2,2,2,3,3,1,1,1,3,1,4,1,1,2,1,2,1,2,11
7,1,1,3,2,2,3,2,2,0,2,0,3,3,2,1,1,2,2,2,3,3,1,1,1,3,1,4,1,1,2,1,2,1,2,11
5,1,1,1,1,2,4,2,2,3,1,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
4,2,1,3,2,3,4,2,1,0,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
4,2,1,3,2,3,4,2,1,1,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
4,2,1,3,2,4,2,2,3,1,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
5,1,1,1,1,2,4,2,1,0,1,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
5,1,1,3,2,3,4,2,2,3,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
1,1,1,1,1,2,4,2,3,0,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
4,2,1,3,2,3,4,2,2,1,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
5,2,1,3,2,3,4,2,1,0,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
4,1,1,3,2,2,4,2,2,3,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
7,2,1,3,2,3,3,2,2,0,2,0,2,3,2,1,1,1,1,2,1,1,2,1,1,3,1,4,1,2,1,1,2,1,2,5
5,1,1,3,2,2,4,2,1,3,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
5,2,1,3,2,2,4,2,3,1,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
2,2,1,3,2,4,4,2,2,1,2,0,2,3,2,2,1,1,1,2,1,1,2,1,1,3,1,4,1,2,1,1,2,1,2,5
5,2,1,3,2,3,4,2,2,0,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
2,1,1,3,2,2,4,2,2,3,2,0,2,3,2,1,1,1,1,2,1,1,2,1,1,3,1,4,1,2,1,1,2,1,2,5
4,2,1,3,2,2,4,2,2,1,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
1,1,3,3,1,3,3,1,3,0,1,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
5,1,3,3,1,3,2,1,2,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
5,1,1,3,2,4,2,2,3,3,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
5,2,1,3,2,4,4,2,2,1,2,0,2,3,2,1,1,1,1,2,1,1,2,1,1,3,1,4,1,2,1,1,2,1,2,5
4,2,1,3,2,2,4,2,1,0,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
3,2,1,3,2,3,4,3,3,0,2,0,2,3,2,1,1,1,1,2,3,4,2,2,1,3,1,4,1,2,1,1,2,1,2,5
4,1,1,1,1,2,1,2,1,1,1,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
5,2,1,3,2,3,4,2,3,1,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
5,1,1,3,2,3,4,2,2,3,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
7,2,1,3,2,4,4,2,2,1,2,0,2,3,2,2,1,1,1,2,1,1,2,1,1,3,1,4,1,2,1,1,2,1,2,5
2,1,3,3,1,3,3,1,2,3,2,0,2,3,2,1,1,1,1,2,1,1,2,1,1,3,1,4,3,2,1,1,2,1,2,5
3,1,1,3,2,4,4,2,2,3,2,0,2,3,2,2,1,1,1,2,1,1,2,1,1,3,1,4,1,2,1,1,2,1,2,5
5,2,1,3,2,2,4,2,2,1,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
2,2,1,3,2,3,4,3,1,0,2,0,2,3,2,1,1,1,1,2,3,4,2,2,1,3,1,4,1,2,1,1,2,1,2,5
4,1,1,3,2,3,4,2,2,3,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
4,1,3,3,1,1,2,2,1,1,2,0,2,3,2,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
3,1,1,3,2,2,1,2,2,3,2,0,2,3,2,1,1,1,1,2,1,1,2,1,1,3,1,4,1,2,1,1,2,1,2,5
3,2,1,3,2,2,4,3,3,1,2,0,2,3,2,1,1,1,1,2,3,4,2,2,1,3,1,4,1,2,1,1,2,1,2,5
4,2,1,3,2,3,3,2,2,0,2,0,2,3,2,1,1,1,1,2,1,1,2,1,1,3,1,4,1,2,1,1,2,1,2,5
3,2,1,3,2,2,1,2,2,1,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
3,1,1,3,2,2,1,2,2,3,2,0,2,3,2,2,1,1,1,2,1,1,2,1,1,3,1,4,1,2,1,1,2,1,2,5
4,1,1,3,2,2,4,3,3,3,2,0,2,3,2,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,5
7,1,1,3,2,2,4,3,2,3,2,0,2,3,2,1,1,1,1,2,3,4,2,2,1,3,1,4,1,2,1,1,2,1,2,5
7,2,1,3,1,2,4,2,1,1,2,0,2,3,3,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,3
2,2,1,1,1,3,4,2,1,0,2,0,2,3,3,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,3
4,2,3,3,2,1,2,1,2,1,2,0,3,3,3,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,3
3,2,3,3,2,4,3,1,2,1,2,0,3,3,3,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,3
3,2,3,3,2,2,3,1,2,1,2,0,3,3,3,2,2,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,3
3,2,1,3,1,3,1,2,1,1,2,0,2,3,3,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,3
3,2,3,3,2,4,2,1,2,0,2,0,3,3,3,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,3
2,2,1,3,1,1,4,2,1,0,2,0,2,3,3,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,3
4,2,3,3,2,2,1,1,2,1,2,0,3,3,3,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,3
2,1,1,1,1,3,1,2,1,3,2,0,2,3,3,2,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,3
4,1,3,1,2,3,3,1,2,3,2,0,3,2,3,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,1,4
3,2,1,2,1,3,4,2,1,0,1,0,2,2,3,2,1,1,2,2,3,3,1,1,1,3,1,4,1,1,2,2,2,1,2,4
4,2,3,2,2,1,2,1,2,1,2,0,3,2,3,1,1,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,2,1,2,4
2,1,1,3,2,2,2,2,2,3,2,0,3,3,3,2,2,1,2,2,3,3,1,1,1,3,1,4,1,2,1,1,1,1,3,4
